date,account_code,account_name,debit_paise,credit_paise,narration,reference
2025-01-13,1100,Bank,6858717,0,bank credit,crd_003_acc_01_2025-01-13
2025-01-13,2300,Unreconciled settlements,0,6858717,unreconciled,crd_003_acc_01_2025-01-13
2025-01-14,1100,Bank,63691,0,bank credit,crd_001_acc_00_2025-01-14
2025-01-14,2300,Unreconciled settlements,0,63691,unreconciled,crd_001_acc_00_2025-01-14
2025-01-14,1100,Bank,5786365,0,bank credit,crd_001_acc_01_2025-01-14
2025-01-14,2300,Unreconciled settlements,0,5786365,unreconciled,crd_001_acc_01_2025-01-14
2025-01-14,1100,Bank,593482,0,bank credit,crd_002_acc_00_2025-01-14
2025-01-14,2300,Unreconciled settlements,0,593482,unreconciled,crd_002_acc_00_2025-01-14
2025-01-14,1100,Bank,7724984,0,bank credit,crd_002_acc_01_2025-01-14
2025-01-14,2300,Unreconciled settlements,0,7724984,unreconciled,crd_002_acc_01_2025-01-14
2025-01-14,1100,Bank,114402,0,bank credit,crd_003_acc_00_2025-01-14
2025-01-14,2300,Unreconciled settlements,0,114402,unreconciled,crd_003_acc_00_2025-01-14
2025-01-14,1100,Bank,8425791,0,bank credit,crd_003_acc_01_2025-01-14
2025-01-14,2300,Unreconciled settlements,0,8425791,unreconciled,crd_003_acc_01_2025-01-14
2025-01-15,1100,Bank,6060468,0,bank credit,crd_001_acc_01_2025-01-15
2025-01-15,2300,Unreconciled settlements,0,6060468,unreconciled,crd_001_acc_01_2025-01-15
2025-01-15,1100,Bank,375273,0,bank credit,crd_002_acc_00_2025-01-15
2025-01-15,2300,Unreconciled settlements,0,375273,unreconciled,crd_002_acc_00_2025-01-15
2025-01-15,1100,Bank,5557051,0,bank credit,crd_002_acc_01_2025-01-15
2025-01-15,2300,Unreconciled settlements,0,5557051,unreconciled,crd_002_acc_01_2025-01-15
2025-01-15,1100,Bank,64338,0,bank credit,crd_003_acc_00_2025-01-15
2025-01-15,2300,Unreconciled settlements,0,64338,unreconciled,crd_003_acc_00_2025-01-15
2025-01-15,1100,Bank,6676692,0,bank credit,crd_003_acc_01_2025-01-15
2025-01-15,2300,Unreconciled settlements,0,6676692,unreconciled,crd_003_acc_01_2025-01-15
2025-01-16,1100,Bank,942450,0,bank credit,crd_001_acc_00_2025-01-16
2025-01-16,2300,Unreconciled settlements,0,942450,unreconciled,crd_001_acc_00_2025-01-16
2025-01-16,1100,Bank,6947741,0,bank credit,crd_001_acc_01_2025-01-16
2025-01-16,2300,Unreconciled settlements,0,6947741,unreconciled,crd_001_acc_01_2025-01-16
2025-01-16,1100,Bank,224525,0,bank credit,crd_002_acc_00_2025-01-16
2025-01-16,2300,Unreconciled settlements,0,224525,unreconciled,crd_002_acc_00_2025-01-16
2025-01-16,1100,Bank,5661397,0,bank credit,crd_002_acc_01_2025-01-16
2025-01-16,2300,Unreconciled settlements,0,5661397,unreconciled,crd_002_acc_01_2025-01-16
2025-01-16,1100,Bank,664553,0,bank credit,crd_003_acc_00_2025-01-16
2025-01-16,2300,Unreconciled settlements,0,664553,unreconciled,crd_003_acc_00_2025-01-16
2025-01-16,1100,Bank,7681027,0,bank credit,crd_003_acc_01_2025-01-16
2025-01-16,2300,Unreconciled settlements,0,7681027,unreconciled,crd_003_acc_01_2025-01-16
2025-01-17,1100,Bank,348992,0,bank credit,crd_001_acc_00_2025-01-17
2025-01-17,2300,Unreconciled settlements,0,348992,unreconciled,crd_001_acc_00_2025-01-17
2025-01-17,1100,Bank,5900465,0,bank credit,crd_001_acc_01_2025-01-17
2025-01-17,2300,Unreconciled settlements,0,5900465,unreconciled,crd_001_acc_01_2025-01-17
2025-01-17,1100,Bank,293005,0,bank credit,crd_002_acc_00_2025-01-17
2025-01-17,2300,Unreconciled settlements,0,293005,unreconciled,crd_002_acc_00_2025-01-17
2025-01-17,1100,Bank,571457,0,bank credit,crd_003_acc_00_2025-01-17
2025-01-17,2300,Unreconciled settlements,0,571457,unreconciled,crd_003_acc_00_2025-01-17
2025-01-17,1100,Bank,5521700,0,bank credit,crd_003_acc_01_2025-01-17
2025-01-17,2300,Unreconciled settlements,0,5521700,unreconciled,crd_003_acc_01_2025-01-17
2025-01-20,1100,Bank,8412279,0,bank credit,crd_001_acc_00_2025-01-20
2025-01-20,2300,Unreconciled settlements,0,8412279,unreconciled,crd_001_acc_00_2025-01-20
2025-01-20,1100,Bank,6683539,0,bank credit,crd_001_acc_01_2025-01-20
2025-01-20,2300,Unreconciled settlements,0,6683539,unreconciled,crd_001_acc_01_2025-01-20
2025-01-20,1100,Bank,5043533,0,bank credit,crd_002_acc_00_2025-01-20
2025-01-20,2300,Unreconciled settlements,0,5043533,unreconciled,crd_002_acc_00_2025-01-20
2025-01-20,1100,Bank,6394705,0,bank credit,crd_002_acc_01_2025-01-17
2025-01-20,2300,Unreconciled settlements,0,6394705,unreconciled,crd_002_acc_01_2025-01-17
2025-01-20,1100,Bank,5934706,0,bank credit,crd_002_acc_01_2025-01-20
2025-01-20,2300,Unreconciled settlements,0,5934706,unreconciled,crd_002_acc_01_2025-01-20
2025-01-20,1100,Bank,5485053,0,bank credit,crd_003_acc_00_2025-01-20
2025-01-20,2300,Unreconciled settlements,0,5485053,unreconciled,crd_003_acc_00_2025-01-20
2025-01-20,1100,Bank,5434341,0,bank credit,crd_003_acc_01_2025-01-20
2025-01-20,2300,Unreconciled settlements,0,5434341,unreconciled,crd_003_acc_01_2025-01-20
2025-01-21,1100,Bank,5907591,0,bank credit,crd_001_acc_00_2025-01-21
2025-01-21,2300,Unreconciled settlements,0,5907591,unreconciled,crd_001_acc_00_2025-01-21
2025-01-21,1100,Bank,7533335,0,bank credit,crd_001_acc_01_2025-01-21
2025-01-21,2300,Unreconciled settlements,0,7533335,unreconciled,crd_001_acc_01_2025-01-21
2025-01-21,1100,Bank,7533335,0,bank credit,crd_001_acc_01_2025-01-21_dup
2025-01-21,2300,Unreconciled settlements,0,7533335,unreconciled,crd_001_acc_01_2025-01-21_dup
2025-01-21,1100,Bank,6130799,0,bank credit,crd_002_acc_00_2025-01-21
2025-01-21,2300,Unreconciled settlements,0,6130799,unreconciled,crd_002_acc_00_2025-01-21
2025-01-21,1100,Bank,7280701,0,bank credit,crd_003_acc_00_2025-01-21
2025-01-21,2300,Unreconciled settlements,0,7280701,unreconciled,crd_003_acc_00_2025-01-21
2025-01-21,1100,Bank,6645690,0,bank credit,crd_003_acc_01_2025-01-21
2025-01-21,2300,Unreconciled settlements,0,6645690,unreconciled,crd_003_acc_01_2025-01-21
2025-01-22,1100,Bank,6937191,0,bank credit,crd_001_acc_00_2025-01-22
2025-01-22,2300,Unreconciled settlements,0,6937191,unreconciled,crd_001_acc_00_2025-01-22
2025-01-22,1100,Bank,5628861,0,bank credit,crd_001_acc_01_2025-01-22
2025-01-22,2300,Unreconciled settlements,0,5628861,unreconciled,crd_001_acc_01_2025-01-22
2025-01-22,1100,Bank,7400262,0,bank credit,crd_002_acc_00_2025-01-22
2025-01-22,2300,Unreconciled settlements,0,7400262,unreconciled,crd_002_acc_00_2025-01-22
2025-01-22,1100,Bank,7125140,0,bank credit,crd_002_acc_01_2025-01-21
2025-01-22,2300,Unreconciled settlements,0,7125140,unreconciled,crd_002_acc_01_2025-01-21
2025-01-22,1100,Bank,5402785,0,bank credit,crd_002_acc_01_2025-01-22
2025-01-22,2300,Unreconciled settlements,0,5402785,unreconciled,crd_002_acc_01_2025-01-22
2025-01-22,1100,Bank,7383604,0,bank credit,crd_003_acc_00_2025-01-22
2025-01-22,2300,Unreconciled settlements,0,7383604,unreconciled,crd_003_acc_00_2025-01-22
2025-01-22,1100,Bank,7605515,0,bank credit,crd_003_acc_01_2025-01-22
2025-01-22,2300,Unreconciled settlements,0,7605515,unreconciled,crd_003_acc_01_2025-01-22
2025-01-23,1100,Bank,4056149,0,bank credit,crd_001_acc_00_2025-01-23
2025-01-23,2300,Unreconciled settlements,0,4056149,unreconciled,crd_001_acc_00_2025-01-23
2025-01-23,1100,Bank,5903612,0,bank credit,crd_001_acc_01_2025-01-23
2025-01-23,2300,Unreconciled settlements,0,5903612,unreconciled,crd_001_acc_01_2025-01-23
2025-01-23,1100,Bank,6935367,0,bank credit,crd_002_acc_00_2025-01-23
2025-01-23,2300,Unreconciled settlements,0,6935367,unreconciled,crd_002_acc_00_2025-01-23
2025-01-23,1100,Bank,7558690,0,bank credit,crd_002_acc_01_2025-01-23
2025-01-23,2300,Unreconciled settlements,0,7558690,unreconciled,crd_002_acc_01_2025-01-23
2025-01-23,1100,Bank,5222056,0,bank credit,crd_003_acc_00_2025-01-23
2025-01-23,2300,Unreconciled settlements,0,5222056,unreconciled,crd_003_acc_00_2025-01-23
2025-01-23,1100,Bank,7394802,0,bank credit,crd_003_acc_01_2025-01-23
2025-01-23,2300,Unreconciled settlements,0,7394802,unreconciled,crd_003_acc_01_2025-01-23
2025-01-24,1100,Bank,6673637,0,bank credit,crd_001_acc_00_2025-01-24
2025-01-24,2300,Unreconciled settlements,0,6673637,unreconciled,crd_001_acc_00_2025-01-24
2025-01-24,1100,Bank,7446254,0,bank credit,crd_001_acc_01_2025-01-24
2025-01-24,2300,Unreconciled settlements,0,7446254,unreconciled,crd_001_acc_01_2025-01-24
2025-01-24,1100,Bank,6483098,0,bank credit,crd_002_acc_00_2025-01-24
2025-01-24,2300,Unreconciled settlements,0,6483098,unreconciled,crd_002_acc_00_2025-01-24
2025-01-24,1100,Bank,5864006,0,bank credit,crd_002_acc_01_2025-01-24
2025-01-24,2300,Unreconciled settlements,0,5864006,unreconciled,crd_002_acc_01_2025-01-24
2025-01-24,1100,Bank,7182465,0,bank credit,crd_003_acc_00_2025-01-24
2025-01-24,2300,Unreconciled settlements,0,7182465,unreconciled,crd_003_acc_00_2025-01-24
2025-01-24,1100,Bank,5795061,0,bank credit,crd_003_acc_01_2025-01-24
2025-01-24,2300,Unreconciled settlements,0,5795061,unreconciled,crd_003_acc_01_2025-01-24
2025-01-27,1100,Bank,7219716,0,bank credit,crd_001_acc_00_2025-01-27
2025-01-27,2300,Unreconciled settlements,0,7219716,unreconciled,crd_001_acc_00_2025-01-27
2025-01-27,1100,Bank,6434977,0,bank credit,crd_001_acc_01_2025-01-27
2025-01-27,2300,Unreconciled settlements,0,6434977,unreconciled,crd_001_acc_01_2025-01-27
2025-01-27,1100,Bank,7878231,0,bank credit,crd_002_acc_00_2025-01-27
2025-01-27,2300,Unreconciled settlements,0,7878231,unreconciled,crd_002_acc_00_2025-01-27
2025-01-27,1100,Bank,5713165,0,bank credit,crd_002_acc_01_2025-01-27
2025-01-27,2300,Unreconciled settlements,0,5713165,unreconciled,crd_002_acc_01_2025-01-27
2025-01-27,1100,Bank,7107372,0,bank credit,crd_003_acc_00_2025-01-27
2025-01-27,2300,Unreconciled settlements,0,7107372,unreconciled,crd_003_acc_00_2025-01-27
2025-01-27,1100,Bank,6491333,0,bank credit,crd_003_acc_01_2025-01-27
2025-01-27,2300,Unreconciled settlements,0,6491333,unreconciled,crd_003_acc_01_2025-01-27
2025-01-28,1100,Bank,5921565,0,bank credit,crd_001_acc_00_2025-01-28
2025-01-28,2300,Unreconciled settlements,0,5921565,unreconciled,crd_001_acc_00_2025-01-28
2025-01-28,1100,Bank,7058696,0,bank credit,crd_001_acc_01_2025-01-28
2025-01-28,2300,Unreconciled settlements,0,7058696,unreconciled,crd_001_acc_01_2025-01-28
2025-01-28,1100,Bank,6584245,0,bank credit,crd_002_acc_00_2025-01-28
2025-01-28,2300,Unreconciled settlements,0,6584245,unreconciled,crd_002_acc_00_2025-01-28
2025-01-28,1100,Bank,6293762,0,bank credit,crd_002_acc_01_2025-01-28
2025-01-28,2300,Unreconciled settlements,0,6293762,unreconciled,crd_002_acc_01_2025-01-28
2025-01-28,1100,Bank,6972080,0,bank credit,crd_003_acc_00_2025-01-28
2025-01-28,2300,Unreconciled settlements,0,6972080,unreconciled,crd_003_acc_00_2025-01-28
2025-01-28,1100,Bank,7104227,0,bank credit,crd_003_acc_01_2025-01-28
2025-01-28,2300,Unreconciled settlements,0,7104227,unreconciled,crd_003_acc_01_2025-01-28
2025-01-29,1100,Bank,5478515,0,bank credit,crd_001_acc_00_2025-01-29
2025-01-29,2300,Unreconciled settlements,0,5478515,unreconciled,crd_001_acc_00_2025-01-29
2025-01-29,1100,Bank,6411563,0,bank credit,crd_001_acc_01_2025-01-29
2025-01-29,2300,Unreconciled settlements,0,6411563,unreconciled,crd_001_acc_01_2025-01-29
2025-01-29,1100,Bank,6819666,0,bank credit,crd_002_acc_00_2025-01-29
2025-01-29,2300,Unreconciled settlements,0,6819666,unreconciled,crd_002_acc_00_2025-01-29
2025-01-29,1100,Bank,6961715,0,bank credit,crd_002_acc_01_2025-01-29
2025-01-29,2300,Unreconciled settlements,0,6961715,unreconciled,crd_002_acc_01_2025-01-29
2025-01-29,1100,Bank,6062688,0,bank credit,crd_003_acc_00_2025-01-29
2025-01-29,2300,Unreconciled settlements,0,6062688,unreconciled,crd_003_acc_00_2025-01-29
2025-01-30,1100,Bank,6552858,0,bank credit,crd_001_acc_00_2025-01-30
2025-01-30,2300,Unreconciled settlements,0,6552858,unreconciled,crd_001_acc_00_2025-01-30
2025-01-30,1100,Bank,7473553,0,bank credit,crd_001_acc_01_2025-01-30
2025-01-30,2300,Unreconciled settlements,0,7473553,unreconciled,crd_001_acc_01_2025-01-30
2025-01-30,1100,Bank,7473553,0,bank credit,crd_001_acc_01_2025-01-30_dup
2025-01-30,2300,Unreconciled settlements,0,7473553,unreconciled,crd_001_acc_01_2025-01-30_dup
2025-01-30,1100,Bank,7533612,0,bank credit,crd_002_acc_00_2025-01-30
2025-01-30,2300,Unreconciled settlements,0,7533612,unreconciled,crd_002_acc_00_2025-01-30
2025-01-30,1100,Bank,5957292,0,bank credit,crd_002_acc_01_2025-01-30
2025-01-30,2300,Unreconciled settlements,0,5957292,unreconciled,crd_002_acc_01_2025-01-30
2025-01-30,1100,Bank,5016232,0,bank credit,crd_003_acc_00_2025-01-30
2025-01-30,2300,Unreconciled settlements,0,5016232,unreconciled,crd_003_acc_00_2025-01-30
2025-01-30,1100,Bank,6922200,0,bank credit,crd_003_acc_01_2025-01-29
2025-01-30,2300,Unreconciled settlements,0,6922200,unreconciled,crd_003_acc_01_2025-01-29
2025-01-30,1100,Bank,4425304,0,bank credit,crd_003_acc_01_2025-01-30
2025-01-30,2300,Unreconciled settlements,0,4425304,unreconciled,crd_003_acc_01_2025-01-30
2025-01-31,1100,Bank,5424994,0,bank credit,crd_001_acc_00_2025-01-31
2025-01-31,2300,Unreconciled settlements,0,5424994,unreconciled,crd_001_acc_00_2025-01-31
2025-01-31,1100,Bank,5287296,0,bank credit,crd_001_acc_01_2025-01-31
2025-01-31,2300,Unreconciled settlements,0,5287296,unreconciled,crd_001_acc_01_2025-01-31
2025-01-31,1100,Bank,6427758,0,bank credit,crd_002_acc_00_2025-01-31
2025-01-31,2300,Unreconciled settlements,0,6427758,unreconciled,crd_002_acc_00_2025-01-31
2025-01-31,1100,Bank,6807450,0,bank credit,crd_003_acc_00_2025-01-31
2025-01-31,2300,Unreconciled settlements,0,6807450,unreconciled,crd_003_acc_00_2025-01-31
2025-01-31,1100,Bank,7737941,0,bank credit,crd_003_acc_01_2025-01-31
2025-01-31,2300,Unreconciled settlements,0,7737941,unreconciled,crd_003_acc_01_2025-01-31
2025-02-03,1100,Bank,6670954,0,bank credit,crd_001_acc_00_2025-02-03
2025-02-03,2300,Unreconciled settlements,0,6670954,unreconciled,crd_001_acc_00_2025-02-03
2025-02-03,1100,Bank,3936501,0,bank credit,crd_001_acc_01_2025-02-03
2025-02-03,2300,Unreconciled settlements,0,3936501,unreconciled,crd_001_acc_01_2025-02-03
2025-02-03,1100,Bank,4568815,0,bank credit,crd_002_acc_00_2025-02-03
2025-02-03,2300,Unreconciled settlements,0,4568815,unreconciled,crd_002_acc_00_2025-02-03
2025-02-03,1100,Bank,7763852,0,bank credit,crd_002_acc_01_2025-01-31
2025-02-03,2300,Unreconciled settlements,0,7763852,unreconciled,crd_002_acc_01_2025-01-31
2025-02-03,1100,Bank,5105108,0,bank credit,crd_002_acc_01_2025-02-03
2025-02-03,2300,Unreconciled settlements,0,5105108,unreconciled,crd_002_acc_01_2025-02-03
2025-02-03,1100,Bank,4731501,0,bank credit,crd_003_acc_00_2025-02-03
2025-02-03,2300,Unreconciled settlements,0,4731501,unreconciled,crd_003_acc_00_2025-02-03
2025-02-03,1100,Bank,5527437,0,bank credit,crd_003_acc_01_2025-02-03
2025-02-03,2300,Unreconciled settlements,0,5527437,unreconciled,crd_003_acc_01_2025-02-03
2025-02-04,1100,Bank,7376664,0,bank credit,crd_001_acc_00_2025-02-04
2025-02-04,2300,Unreconciled settlements,0,7376664,unreconciled,crd_001_acc_00_2025-02-04
2025-02-04,1100,Bank,6405920,0,bank credit,crd_001_acc_01_2025-02-04
2025-02-04,2300,Unreconciled settlements,0,6405920,unreconciled,crd_001_acc_01_2025-02-04
2025-02-04,1100,Bank,6912456,0,bank credit,crd_002_acc_00_2025-02-04
2025-02-04,2300,Unreconciled settlements,0,6912456,unreconciled,crd_002_acc_00_2025-02-04
2025-02-04,1100,Bank,6969413,0,bank credit,crd_002_acc_01_2025-02-04
2025-02-04,2300,Unreconciled settlements,0,6969413,unreconciled,crd_002_acc_01_2025-02-04
2025-02-04,1100,Bank,6880742,0,bank credit,crd_003_acc_00_2025-02-04
2025-02-04,2300,Unreconciled settlements,0,6880742,unreconciled,crd_003_acc_00_2025-02-04
2025-02-04,1100,Bank,6336052,0,bank credit,crd_003_acc_01_2025-02-04
2025-02-04,2300,Unreconciled settlements,0,6336052,unreconciled,crd_003_acc_01_2025-02-04
2025-02-05,1100,Bank,7164563,0,bank credit,crd_001_acc_00_2025-02-05
2025-02-05,2300,Unreconciled settlements,0,7164563,unreconciled,crd_001_acc_00_2025-02-05
2025-02-05,1100,Bank,6477916,0,bank credit,crd_001_acc_01_2025-02-05
2025-02-05,2300,Unreconciled settlements,0,6477916,unreconciled,crd_001_acc_01_2025-02-05
2025-02-05,1100,Bank,7265061,0,bank credit,crd_002_acc_00_2025-02-05
2025-02-05,2300,Unreconciled settlements,0,7265061,unreconciled,crd_002_acc_00_2025-02-05
2025-02-05,1100,Bank,7339740,0,bank credit,crd_002_acc_01_2025-02-05
2025-02-05,2300,Unreconciled settlements,0,7339740,unreconciled,crd_002_acc_01_2025-02-05
2025-02-05,1100,Bank,5286485,0,bank credit,crd_003_acc_00_2025-02-05
2025-02-05,2300,Unreconciled settlements,0,5286485,unreconciled,crd_003_acc_00_2025-02-05
2025-02-05,1100,Bank,7219438,0,bank credit,crd_003_acc_01_2025-02-05
2025-02-05,2300,Unreconciled settlements,0,7219438,unreconciled,crd_003_acc_01_2025-02-05
2025-02-06,1100,Bank,5117908,0,bank credit,crd_001_acc_00_2025-02-06
2025-02-06,2300,Unreconciled settlements,0,5117908,unreconciled,crd_001_acc_00_2025-02-06
2025-02-06,1100,Bank,6229975,0,bank credit,crd_001_acc_01_2025-02-06
2025-02-06,2300,Unreconciled settlements,0,6229975,unreconciled,crd_001_acc_01_2025-02-06
2025-02-06,1100,Bank,5423608,0,bank credit,crd_002_acc_00_2025-02-06
2025-02-06,2300,Unreconciled settlements,0,5423608,unreconciled,crd_002_acc_00_2025-02-06
2025-02-06,1100,Bank,7016035,0,bank credit,crd_002_acc_01_2025-02-06
2025-02-06,2300,Unreconciled settlements,0,7016035,unreconciled,crd_002_acc_01_2025-02-06
2025-02-06,1100,Bank,4901219,0,bank credit,crd_003_acc_00_2025-02-06
2025-02-06,2300,Unreconciled settlements,0,4901219,unreconciled,crd_003_acc_00_2025-02-06
2025-02-06,1100,Bank,5562325,0,bank credit,crd_003_acc_01_2025-02-06
2025-02-06,2300,Unreconciled settlements,0,5562325,unreconciled,crd_003_acc_01_2025-02-06
2025-02-06,1100,Bank,5562325,0,bank credit,crd_003_acc_01_2025-02-06_dup
2025-02-06,2300,Unreconciled settlements,0,5562325,unreconciled,crd_003_acc_01_2025-02-06_dup
2025-02-07,1100,Bank,5722418,0,bank credit,crd_001_acc_00_2025-02-07
2025-02-07,2300,Unreconciled settlements,0,5722418,unreconciled,crd_001_acc_00_2025-02-07
2025-02-07,1100,Bank,7181404,0,bank credit,crd_001_acc_01_2025-02-07
2025-02-07,2300,Unreconciled settlements,0,7181404,unreconciled,crd_001_acc_01_2025-02-07
2025-02-07,1100,Bank,7181404,0,bank credit,crd_001_acc_01_2025-02-07_dup
2025-02-07,2300,Unreconciled settlements,0,7181404,unreconciled,crd_001_acc_01_2025-02-07_dup
2025-02-07,1100,Bank,6665308,0,bank credit,crd_002_acc_00_2025-02-07
2025-02-07,2300,Unreconciled settlements,0,6665308,unreconciled,crd_002_acc_00_2025-02-07
2025-02-07,1100,Bank,6677154,0,bank credit,crd_002_acc_01_2025-02-07
2025-02-07,2300,Unreconciled settlements,0,6677154,unreconciled,crd_002_acc_01_2025-02-07
2025-02-07,1100,Bank,6162355,0,bank credit,crd_003_acc_00_2025-02-07
2025-02-07,2300,Unreconciled settlements,0,6162355,unreconciled,crd_003_acc_00_2025-02-07
2025-02-10,1100,Bank,5754808,0,bank credit,crd_001_acc_00_2025-02-10
2025-02-10,2300,Unreconciled settlements,0,5754808,unreconciled,crd_001_acc_00_2025-02-10
2025-02-10,1100,Bank,7709531,0,bank credit,crd_001_acc_01_2025-02-10
2025-02-10,2300,Unreconciled settlements,0,7709531,unreconciled,crd_001_acc_01_2025-02-10
2025-02-10,1100,Bank,6351412,0,bank credit,crd_002_acc_00_2025-02-10
2025-02-10,2300,Unreconciled settlements,0,6351412,unreconciled,crd_002_acc_00_2025-02-10
2025-02-10,1100,Bank,6435162,0,bank credit,crd_002_acc_01_2025-02-10
2025-02-10,2300,Unreconciled settlements,0,6435162,unreconciled,crd_002_acc_01_2025-02-10
2025-02-10,1100,Bank,4082551,0,bank credit,crd_003_acc_00_2025-02-10
2025-02-10,2300,Unreconciled settlements,0,4082551,unreconciled,crd_003_acc_00_2025-02-10
2025-02-10,1100,Bank,7103023,0,bank credit,crd_003_acc_01_2025-02-07
2025-02-10,2300,Unreconciled settlements,0,7103023,unreconciled,crd_003_acc_01_2025-02-07
2025-02-10,1100,Bank,4995147,0,bank credit,crd_003_acc_01_2025-02-10
2025-02-10,2300,Unreconciled settlements,0,4995147,unreconciled,crd_003_acc_01_2025-02-10
2025-02-11,1100,Bank,6751000,0,bank credit,crd_001_acc_00_2025-02-11
2025-02-11,2300,Unreconciled settlements,0,6751000,unreconciled,crd_001_acc_00_2025-02-11
2025-02-11,1100,Bank,5995411,0,bank credit,crd_001_acc_01_2025-02-11
2025-02-11,2300,Unreconciled settlements,0,5995411,unreconciled,crd_001_acc_01_2025-02-11
2025-02-11,1100,Bank,7711752,0,bank credit,crd_002_acc_00_2025-02-11
2025-02-11,2300,Unreconciled settlements,0,7711752,unreconciled,crd_002_acc_00_2025-02-11
2025-02-11,1100,Bank,7711752,0,bank credit,crd_002_acc_00_2025-02-11_dup
2025-02-11,2300,Unreconciled settlements,0,7711752,unreconciled,crd_002_acc_00_2025-02-11_dup
2025-02-11,1100,Bank,5181985,0,bank credit,crd_002_acc_01_2025-02-11
2025-02-11,2300,Unreconciled settlements,0,5181985,unreconciled,crd_002_acc_01_2025-02-11
